id,acknowledgedEarlyFinish,acknowledgedEarlyFinishLastChangedAt,batchID,batchIDLastChangedAt,enemyHealth,enemyHealthLastChangedAt,gameID,gameIDLastChangedAt,outcome,outcomeLastChangedAt,playerID,playerIDLastChangedAt,playerId,playerIdLastChangedAt,playerRoundConfig,playerRoundConfigLastChangedAt,pointsEarned,pointsEarnedLastChangedAt,roundEndMessage,roundEndMessageLastChangedAt,roundID,roundIDLastChangedAt,stage1Turns,stage1TurnsLastChangedAt,stage2Turns,stage2TurnsLastChangedAt,stage3Turns,stage3TurnsLastChangedAt,stage4Turns,stage4TurnsLastChangedAt,stage5Turns,stage5TurnsLastChangedAt,stats,statsLastChangedAt,teamHealth,teamHealthLastChangedAt,turnsTaken,turnsTakenLastChangedAt,virtualBots,virtualBotsLastChangedAt
01KK169M809AD692VP35WBMFR7,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:05:12.960577782Z,,,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:05:12.960577782Z,,,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:05:12.960577782Z,null,2026-03-06T09:06:42.486765736Z,,,,,,,01KK169M1NNDT7N9NMC20V24K4,2026-03-06T09:05:12.960577782Z,,,,,,,,,,,null,2026-03-06T09:06:42.486765736Z,,,,,[],2026-03-06T09:05:12.981826685Z
01KK16CBQKM2NRVXGTQQ7B2KE8,true,2026-03-06T09:07:40.952844248Z,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:06:42.54748328Z,2,2026-03-06T09:07:34.458707353Z,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:06:42.54748328Z,LOSE,2026-03-06T09:07:34.458707353Z,01KK151EAZ3RYJENNDVWS0NTPD,2026-03-06T09:06:42.54748328Z,null,2026-03-06T09:08:27.484003985Z,"{""id"":14,""envId"":""202"",""maxEnemyHealth"":30,""maxTeamHealth"":15,""bossDamage"":10,""statProfile"":""imbalanced-oneunique-str"",""statProfileId"":""411_222_222"",""optimalRoles"":[0,2,1],""deviateRoles"":[1,2,2],""optimalDeviateRolesId"":""FMT_TMM"",""humanRole"":1,""playerDeviateProbability"":0,""enemyAttackProbability"":0.25,""enemyIntentSequence"":""1000110000"",""botPlayers"":[{""strategy"":{""type"":""fixed"",""role"":2}},{""strategy"":{""type"":""fixed"",""role"":2}}]}",2026-03-06T09:06:42.566349306Z,0,2026-03-06T09:07:34.458707353Z,Defeat! Your team was defeated.,2026-03-06T09:07:34.458707353Z,01KK16CBGWWQ9FZSTD7BYJG7CG,2026-03-06T09:06:42.54748328Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""BLOCK"",""ATTACK""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":30,""previousTeamHealth"":15,""damageToEnemy"":4,""damageToTeam"":9,""damageBlocked"":1,""healAmount"":0,""newEnemyHealth"":26,""newTeamHealth"":6},{""turnNumber"":2,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":26,""previousTeamHealth"":6,""damageToEnemy"":4,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":4,""newEnemyHealth"":22,""newTeamHealth"":10}]",2026-03-06T09:06:49.967119002Z,"[{""turnNumber"":1,""actions"":[""HEAL"",""HEAL"",""HEAL""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":22,""previousTeamHealth"":10,""damageToEnemy"":0,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":5,""newEnemyHealth"":22,""newTeamHealth"":15},{""turnNumber"":2,""actions"":[""ATTACK"",""ATTACK"",""ATTACK""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":22,""previousTeamHealth"":15,""damageToEnemy"":8,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":0,""newEnemyHealth"":14,""newTeamHealth"":15}]",2026-03-06T09:07:11.877694534Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""ATTACK"",""ATTACK""],""roles"":[""MEDIC"",""FIGHTER"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":14,""previousTeamHealth"":15,""damageToEnemy"":8,""damageToTeam"":10,""damageBlocked"":0,""healAmount"":0,""newEnemyHealth"":6,""newTeamHealth"":5},{""turnNumber"":2,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""FIGHTER"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":6,""previousTeamHealth"":5,""damageToEnemy"":4,""damageToTeam"":10,""damageBlocked"":0,""healAmount"":4,""newEnemyHealth"":2,""newTeamHealth"":0}]",2026-03-06T09:07:34.458707353Z,,,,,null,2026-03-06T09:08:27.484003985Z,0,2026-03-06T09:07:34.458707353Z,6,2026-03-06T09:07:34.458707353Z,"[{""playerId"":0,""botIndex"":0,""strategy"":{""type"":""fixed"",""role"":2},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":2},{""playerId"":2,""botIndex"":1,""strategy"":{""type"":""fixed"",""role"":2},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":2}]",2026-03-06T09:06:42.662661757Z
01KK16DV69P6Q816ZW8P74DX4Y,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:07:31.145445411Z,,,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:07:31.145445411Z,,,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:07:31.145445411Z,null,2026-03-06T09:09:28.246582842Z,,,,,,,01KK16DV06Q1FP9X4NX7Y9QX7G,2026-03-06T09:07:31.145445411Z,,,,,,,,,,,null,2026-03-06T09:09:28.246582842Z,,,,,[],2026-03-06T09:07:31.187903084Z
01KK16FJ8RJG0X37N2098992W6,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:08:27.54449192Z,,,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:08:27.54449192Z,,,01KK14VZHF7ANFGF38NNJCNQ5J,2026-03-06T09:08:27.54449192Z,null,2026-03-06T09:09:44.480820389Z,,,,,,,01KK16FJ2J2CMXZNNK2B4Z6QHC,2026-03-06T09:08:27.54449192Z,,,,,,,,,,,null,2026-03-06T09:09:44.480820389Z,,,,,[],2026-03-06T09:08:27.57034843Z
01KK16FZKAJ71Z37YNZVYA6A86,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:08:41.19470126Z,,,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:08:41.19470126Z,,,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:08:41.19470126Z,null,2026-03-06T09:13:37.091932993Z,,,,,,,01KK16FZD1TXP2Q3TSAS2S2PJG,2026-03-06T09:08:41.19470126Z,,,,,,,,,,,null,2026-03-06T09:13:37.091932993Z,,,,,[],2026-03-06T09:08:41.219767237Z
01KK16KE4HGZ550D6QC91WH7XE,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:10:34.385408928Z,,,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:10:34.385408928Z,,,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:10:34.385408928Z,null,2026-03-06T09:11:51.643610896Z,,,,,,,01KK16KDXVD5EHP62DRTZ8HY4M,2026-03-06T09:10:34.385408928Z,,,,,,,,,,,null,2026-03-06T09:11:51.643610896Z,,,,,[],2026-03-06T09:10:34.413369906Z
01KK16XXV1FPDKK6FG3B84AC88,,,01KK14SQV0P481Z3K7NG2WAD1J,2026-03-06T09:16:18.145912884Z,5,2026-03-06T09:17:51.804734846Z,01KK14SQVR4MGX2VVSH2ZAT939,2026-03-06T09:16:18.145912884Z,TIMEOUT,2026-03-06T09:17:51.804734846Z,01KK14YQA50QAFCAK6W01QR3B7,2026-03-06T09:16:18.145912884Z,null,2026-03-06T09:18:27.221351867Z,"{""id"":4,""envId"":""5500"",""maxEnemyHealth"":30,""maxTeamHealth"":5,""bossDamage"":1,""statProfile"":""imbalanced-oneunique-sup"",""statProfileId"":""114_222_222"",""optimalRoles"":[2,0,0],""deviateRoles"":[1,2,2],""optimalDeviateRolesId"":""MFF_TMM"",""humanRole"":1,""playerDeviateProbability"":0,""enemyAttackProbability"":1,""enemyIntentSequence"":""1111111111"",""botPlayers"":[{""strategy"":{""type"":""fixed"",""role"":2}},{""strategy"":{""type"":""fixed"",""role"":2}}]}",2026-03-06T09:16:18.175266552Z,0,2026-03-06T09:17:51.804734846Z,Time's up!,2026-03-06T09:17:51.804734846Z,01KK16XXK4T3Z2ZJ0JBVS4Z11D,2026-03-06T09:16:18.145912884Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""ATTACK"",""ATTACK""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":30,""previousTeamHealth"":5,""damageToEnemy"":5,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":0,""newEnemyHealth"":25,""newTeamHealth"":4},{""turnNumber"":2,""actions"":[""HEAL"",""HEAL"",""HEAL""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":25,""previousTeamHealth"":4,""damageToEnemy"":0,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":8,""newEnemyHealth"":25,""newTeamHealth"":5}]",2026-03-06T09:16:25.350276154Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""ATTACK"",""ATTACK""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":25,""previousTeamHealth"":5,""damageToEnemy"":5,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":0,""newEnemyHealth"":20,""newTeamHealth"":4},{""turnNumber"":2,""actions"":[""HEAL"",""HEAL"",""HEAL""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":20,""previousTeamHealth"":4,""damageToEnemy"":0,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":8,""newEnemyHealth"":20,""newTeamHealth"":5}]",2026-03-06T09:16:44.992415067Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""ATTACK"",""ATTACK""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":20,""previousTeamHealth"":5,""damageToEnemy"":5,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":0,""newEnemyHealth"":15,""newTeamHealth"":4},{""turnNumber"":2,""actions"":[""HEAL"",""HEAL"",""HEAL""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":15,""previousTeamHealth"":4,""damageToEnemy"":0,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":8,""newEnemyHealth"":15,""newTeamHealth"":5}]",2026-03-06T09:17:05.038052854Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""ATTACK"",""ATTACK""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":15,""previousTeamHealth"":5,""damageToEnemy"":5,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":0,""newEnemyHealth"":10,""newTeamHealth"":4},{""turnNumber"":2,""actions"":[""HEAL"",""HEAL"",""HEAL""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":10,""previousTeamHealth"":4,""damageToEnemy"":0,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":8,""newEnemyHealth"":10,""newTeamHealth"":5}]",2026-03-06T09:17:30.248519713Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""ATTACK"",""ATTACK""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":10,""previousTeamHealth"":5,""damageToEnemy"":5,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":0,""newEnemyHealth"":5,""newTeamHealth"":4},{""turnNumber"":2,""actions"":[""HEAL"",""HEAL"",""HEAL""],""roles"":[""MEDIC"",""MEDIC"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":5,""previousTeamHealth"":4,""damageToEnemy"":0,""damageToTeam"":1,""damageBlocked"":0,""healAmount"":8,""newEnemyHealth"":5,""newTeamHealth"":5}]",2026-03-06T09:17:51.804734846Z,null,2026-03-06T09:18:27.221351867Z,5,2026-03-06T09:16:18.175266552Z,10,2026-03-06T09:17:51.804734846Z,"[{""playerId"":1,""botIndex"":0,""strategy"":{""type"":""fixed"",""role"":2},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":2},{""playerId"":2,""botIndex"":1,""strategy"":{""type"":""fixed"",""role"":2},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":2}]",2026-03-06T09:16:18.276033842Z
01KK16826B9TBK64VV6F40M55C,,,01KK14SP07FQHYH09Q2SY1KYNF,2026-03-06T09:04:21.707756149Z,,,01KK14SP2D05SY2J5VP6VS1BFA,2026-03-06T09:04:21.707756149Z,,,01KK152B7R4ZD53WXFFZ6BYJE1,2026-03-06T09:04:21.707756149Z,null,2026-03-06T09:05:12.909499583Z,,,,,,,01KK168211M3NJRPZVMH1E74TY,2026-03-06T09:04:21.707756149Z,,,,,,,,,,,null,2026-03-06T09:05:12.909499583Z,,,,,[],2026-03-06T09:04:21.731511139Z
01KK176V8VQTA25JX3JN9YZ80R,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:21:10.427335137Z,0,2026-03-06T09:23:10.687052528Z,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:21:10.427335137Z,WIN,2026-03-06T09:23:10.687052528Z,01KK156FDQVJQ278PX88B67FJS,2026-03-06T09:21:10.427335137Z,null,2026-03-06T09:23:29.626721919Z,"{""id"":14,""envId"":""202"",""maxEnemyHealth"":30,""maxTeamHealth"":15,""bossDamage"":10,""statProfile"":""imbalanced-oneunique-str"",""statProfileId"":""411_222_222"",""optimalRoles"":[0,2,1],""deviateRoles"":[1,2,2],""optimalDeviateRolesId"":""FMT_TMM"",""humanRole"":1,""playerDeviateProbability"":0,""enemyAttackProbability"":0.25,""enemyIntentSequence"":""1000110000"",""botPlayers"":[{""strategy"":{""type"":""fixed"",""role"":2}},{""strategy"":{""type"":""fixed"",""role"":2}}]}",2026-03-06T09:21:10.471929851Z,10,2026-03-06T09:23:10.687052528Z,Victory! You defeated the enemy!,2026-03-06T09:23:10.687052528Z,01KK176V19TJ7SKV9075C25VP0,2026-03-06T09:21:10.427335137Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""BLOCK"",""ATTACK""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":30,""previousTeamHealth"":15,""damageToEnemy"":4,""damageToTeam"":9,""damageBlocked"":1,""healAmount"":0,""newEnemyHealth"":26,""newTeamHealth"":6},{""turnNumber"":2,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":26,""previousTeamHealth"":6,""damageToEnemy"":4,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":4,""newEnemyHealth"":22,""newTeamHealth"":10}]",2026-03-06T09:21:22.437899267Z,"[{""turnNumber"":1,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":22,""previousTeamHealth"":10,""damageToEnemy"":4,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":4,""newEnemyHealth"":18,""newTeamHealth"":14},{""turnNumber"":2,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":18,""previousTeamHealth"":14,""damageToEnemy"":4,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":4,""newEnemyHealth"":14,""newTeamHealth"":15}]",2026-03-06T09:21:40.449754694Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""BLOCK"",""ATTACK""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":14,""previousTeamHealth"":15,""damageToEnemy"":4,""damageToTeam"":9,""damageBlocked"":1,""healAmount"":0,""newEnemyHealth"":10,""newTeamHealth"":6},{""turnNumber"":2,""actions"":[""HEAL"",""BLOCK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":10,""previousTeamHealth"":6,""damageToEnemy"":0,""damageToTeam"":9,""damageBlocked"":1,""healAmount"":4,""newEnemyHealth"":10,""newTeamHealth"":1}]",2026-03-06T09:21:55.0745758Z,"[{""turnNumber"":1,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":10,""previousTeamHealth"":1,""damageToEnemy"":4,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":4,""newEnemyHealth"":6,""newTeamHealth"":5},{""turnNumber"":2,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":6,""previousTeamHealth"":5,""damageToEnemy"":4,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":4,""newEnemyHealth"":2,""newTeamHealth"":9}]",2026-03-06T09:22:28.53662798Z,"[{""turnNumber"":1,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":2,""previousTeamHealth"":9,""damageToEnemy"":4,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":4,""newEnemyHealth"":0,""newTeamHealth"":13}]",2026-03-06T09:23:10.687052528Z,null,2026-03-06T09:23:29.626721919Z,13,2026-03-06T09:23:10.687052528Z,9,2026-03-06T09:23:10.687052528Z,"[{""playerId"":0,""botIndex"":0,""strategy"":{""type"":""fixed"",""role"":2},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":2},{""playerId"":2,""botIndex"":1,""strategy"":{""type"":""fixed"",""role"":2},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":2}]",2026-03-06T09:21:10.561280025Z
01KK17JWHB2D2FCBHQ0F6YREX7,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:27:44.939429954Z,,,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:27:44.939429954Z,,,01KK154JWJFWXC0WVJEYB8KK83,2026-03-06T09:27:44.939429954Z,null,2026-03-06T09:29:53.673571082Z,,,,,,,01KK17JWA29ENEP6QVB7NYGZT6,2026-03-06T09:27:44.939429954Z,,,,,,,,,,,null,2026-03-06T09:29:53.673571082Z,,,,,[],2026-03-06T09:27:44.972583518Z
01KK17PTA05TDSMZ3EHW2H8AY3,,,01KK14SRVPK023675GC61HZ1SF,2026-03-06T09:29:53.728603115Z,,,01KK14SRWHSKEAMQEN2G8SHW8V,2026-03-06T09:29:53.728603115Z,,,01KK154JWJFWXC0WVJEYB8KK83,2026-03-06T09:29:53.728603115Z,null,2026-03-06T09:32:21.948992298Z,,,,,,,01KK17PT3QW6EARXJZD6Y1ENYT,2026-03-06T09:29:53.728603115Z,,,,,,,,,,,null,2026-03-06T09:32:21.948992298Z,,,,,[],2026-03-06T09:29:53.754000521Z
01KK184RM7E1DDGCH7RVARJT2Q,,,01KK14SSXNQ645HH7AJXYEQV6N,2026-03-06T09:37:30.759203935Z,12,2026-03-06T09:38:06.130362863Z,01KK14SSY8E64SK69715NN1TMW,2026-03-06T09:37:30.759203935Z,LOSE,2026-03-06T09:38:06.130362863Z,01KK15V3W97WBJW05NQ6ZQT7MZ,2026-03-06T09:37:30.759203935Z,null,2026-03-06T09:38:14.329983456Z,"{""id"":15,""envId"":""2712"",""maxEnemyHealth"":30,""maxTeamHealth"":10,""bossDamage"":9,""statProfile"":""imbalanced-oneunique-str"",""statProfileId"":""411_222_222"",""optimalRoles"":[0,0,0],""deviateRoles"":[2,2,1],""optimalDeviateRolesId"":""FFF_MMT"",""humanRole"":2,""playerDeviateProbability"":0,""enemyAttackProbability"":0.25,""enemyIntentSequence"":""1000110000"",""botPlayers"":[{""strategy"":{""type"":""fixed"",""role"":2}},{""strategy"":{""type"":""fixed"",""role"":1}}]}",2026-03-06T09:37:30.785748086Z,0,2026-03-06T09:38:06.130362863Z,Defeat! Your team was defeated.,2026-03-06T09:38:06.130362863Z,01KK184RC2B6QPW9KS7ZSVSHN3,2026-03-06T09:37:30.759203935Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""BLOCK"",""ATTACK""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":30,""previousTeamHealth"":10,""damageToEnemy"":6,""damageToTeam"":7,""damageBlocked"":2,""healAmount"":0,""newEnemyHealth"":24,""newTeamHealth"":3},{""turnNumber"":2,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":24,""previousTeamHealth"":3,""damageToEnemy"":2,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":3,""newEnemyHealth"":22,""newTeamHealth"":6}]",2026-03-06T09:37:37.318009127Z,"[{""turnNumber"":1,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":22,""previousTeamHealth"":6,""damageToEnemy"":2,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":3,""newEnemyHealth"":20,""newTeamHealth"":9},{""turnNumber"":2,""actions"":[""HEAL"",""ATTACK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_NOT_ATTACK"",""previousEnemyHealth"":20,""previousTeamHealth"":9,""damageToEnemy"":2,""damageToTeam"":0,""damageBlocked"":0,""healAmount"":3,""newEnemyHealth"":18,""newTeamHealth"":10}]",2026-03-06T09:37:51.065618475Z,"[{""turnNumber"":1,""actions"":[""ATTACK"",""BLOCK"",""ATTACK""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":18,""previousTeamHealth"":10,""damageToEnemy"":6,""damageToTeam"":7,""damageBlocked"":2,""healAmount"":0,""newEnemyHealth"":12,""newTeamHealth"":3},{""turnNumber"":2,""actions"":[""HEAL"",""BLOCK"",""HEAL""],""roles"":[""MEDIC"",""TANK"",""MEDIC""],""enemyIntent"":""WILL_ATTACK"",""previousEnemyHealth"":12,""previousTeamHealth"":3,""damageToEnemy"":0,""damageToTeam"":7,""damageBlocked"":2,""healAmount"":3,""newEnemyHealth"":12,""newTeamHealth"":0}]",2026-03-06T09:38:06.130362863Z,,,,,null,2026-03-06T09:38:14.329983456Z,0,2026-03-06T09:38:06.130362863Z,6,2026-03-06T09:38:06.130362863Z,"[{""playerId"":0,""botIndex"":0,""strategy"":{""type"":""fixed"",""role"":2},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":2},{""playerId"":1,""botIndex"":1,""strategy"":{""type"":""fixed"",""role"":1},""stats"":{""STR"":2,""DEF"":2,""SUP"":2},""currentRole"":1}]",2026-03-06T09:37:30.993233456Z
